,reconsimpleEC_ARES_10-5-10_1reconsimpleEC_ARES_10-5-10_2reconsimpleEC_ARES_10-5-10_3reconsimpleEC_ARES_10-5-10_4reconsimpleEC_ARES_10-5-10_5reconsimpleEC_ARES_10-5-10_6,reconsimpleEC_ARES_10-5-15_1reconsimpleEC_ARES_10-5-15_2reconsimpleEC_ARES_10-5-15_3reconsimpleEC_ARES_10-5-15_4reconsimpleEC_ARES_10-5-15_5reconsimpleEC_ARES_10-5-15_6,reconsimpleEC_ARES_10-5-20_1reconsimpleEC_ARES_10-5-20_2reconsimpleEC_ARES_10-5-20_3reconsimpleEC_ARES_10-5-20_4reconsimpleEC_ARES_10-5-20_5reconsimpleEC_ARES_10-5-20_6,reconsimpleEC_ARES_10-5-25_1reconsimpleEC_ARES_10-5-25_2reconsimpleEC_ARES_10-5-25_3reconsimpleEC_ARES_10-5-25_4reconsimpleEC_ARES_10-5-25_5reconsimpleEC_ARES_10-5-25_6,reconsimpleEC_ARES_10-5-30_1reconsimpleEC_ARES_10-5-30_2reconsimpleEC_ARES_10-5-30_3reconsimpleEC_ARES_10-5-30_4reconsimpleEC_ARES_10-5-30_5reconsimpleEC_ARES_10-5-30_6,reconsimpleEC_ARES_10-5-35_1reconsimpleEC_ARES_10-5-35_2reconsimpleEC_ARES_10-5-35_3reconsimpleEC_ARES_10-5-35_4reconsimpleEC_ARES_10-5-35_5reconsimpleEC_ARES_10-5-35_6,reconsimpleEC_ARES_10-5-40_1reconsimpleEC_ARES_10-5-40_2reconsimpleEC_ARES_10-5-40_3reconsimpleEC_ARES_10-5-40_4reconsimpleEC_ARES_10-5-40_5reconsimpleEC_ARES_10-5-40_6,reconsimpleEC_ARES_10-5-45_1reconsimpleEC_ARES_10-5-45_2reconsimpleEC_ARES_10-5-45_3reconsimpleEC_ARES_10-5-45_4reconsimpleEC_ARES_10-5-45_5reconsimpleEC_ARES_10-5-45_6,reconsimpleEC_ARES_10-5-50_1reconsimpleEC_ARES_10-5-50_2reconsimpleEC_ARES_10-5-50_3reconsimpleEC_ARES_10-5-50_4reconsimpleEC_ARES_10-5-50_5reconsimpleEC_ARES_10-5-50_6,reconsimpleEC_ARES_10-5-5_1reconsimpleEC_ARES_10-5-5_2reconsimpleEC_ARES_10-5-5_3reconsimpleEC_ARES_10-5-5_4reconsimpleEC_ARES_10-5-5_5reconsimpleEC_ARES_10-5-5_6
min_write_operation_latency_EC,0.07261191576682904,0.07356099717985974,0.07434524079342131,0.07882300932342332,0.079313654273404,0.08236077578357556,0.08806629381336582,0.08776839941656363,0.09676831102997918,0.07126398196331138
sem_write_operation_latency_EC,0.000249844701051393,0.0007366545506040859,0.000541085498150403,0.00047543631795593283,0.000710443564742422,0.0007529901474460594,0.0005545410167512806,0.0018736524855668785,0.0017625314798551351,0.0002021350130389256
mean_write_operation_latency_total,0.07360250404229292,0.07680630409220408,0.07622115075167636,0.08111743668619156,0.08173221299829796,0.08490699547051715,0.08947754106282245,0.09517727172670572,0.10109542832230241,0.07181250972885513
median_write_operation_latency_total,0.07367033472495071,0.07745397031333899,0.07620749100814768,0.08144619491678895,0.08239498456325237,0.08527537047163301,0.08915137336171028,0.0962592205550997,0.10004848237333741,0.07169023934842092
std_write_operation_latency_total,0.0005586697353690279,0.0016472096510852948,0.0012099039555036378,0.0010631079259216696,0.0015886001049413283,0.0016837371560769784,0.0012399914097677128,0.004189614323938984,0.0039411402014393835,0.00045198762978784405
max_write_operation_latency_total,0.07433245426672026,0.07857414622681971,0.07832286719674206,0.08210308749359684,0.08346591990319818,0.08748407394324506,0.09198085854002178,0.10120967680013564,0.10940915103034059,0.07266766069973528
min_write_operation_latency_total,0.07261191576682904,0.07356099717985974,0.07434524079342131,0.07882300932342332,0.079313654273404,0.08236077578357556,0.08806629381336582,0.08776839941656363,0.09676831102997918,0.07126398196331138
sem_write_operation_latency_total,0.000249844701051393,0.0007366545506040859,0.000541085498150403,0.00047543631795593283,0.000710443564742422,0.0007529901474460594,0.0005545410167512806,0.0018736524855668785,0.0017625314798551351,0.0002021350130389256
readers_no,10.0,15.0,20.0,25.0,30.0,35.0,40.0,45.0,50.0,5.0
reads_no,600.0,900.0,1200.0,1500.0,1800.0,2100.0,2400.0,2700.0,3000.0,300.0
recons_no,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
servers_no,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
succ_writes_no,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
unsucc_writes_no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
writers_no,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
writes_no,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
succ_writes_perc,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
unsucc_writes_perc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
