,filesizeCassandra_1048576_11-5-5_3filesizeCassandra_524288_11-5-5_1filesizeCassandra_1048576_11-5-5_2,filesizeCassandra_2097152_11-5-5_1filesizeCassandra_131072_11-5-5_3filesizeCassandra_4194304_11-5-5_1,filesizeCassandra_131072_11-5-5_2filesizeCassandra_65536_11-5-5_1filesizeCassandra_262144_11-5-5_1,filesizeCassandra_524288_11-5-5_2filesizeCassandra_8388608_11-5-5_1filesizeCassandra_524288_11-5-5_3,filesizeCassandra_1048576_11-5-5_1filesizeCassandra_2097152_11-5-5_3filesizeCassandra_2097152_11-5-5_2,filesizeCassandra_4194304_11-5-5_2filesizeCassandra_4194304_11-5-5_3filesizeCassandra_131072_11-5-5_1,filesizeCassandra_262144_11-5-5_3filesizeCassandra_65536_11-5-5_3filesizeCassandra_262144_11-5-5_2,filesizeCassandra_65536_11-5-5_2filesizeBig_slow_ARES_ABD_65536_11-5-5_3filesizeBig_slow_ARES_ABD_524288_11-5-5_3,filesizeBig_slow_ARES_ABD_524288_11-5-5_2filesizeBig_slow_ARES_ABD_65536_11-5-5_2filesizeBig_slow_ARES_ABD_4194304_11-5-5_1,filesizeBig_slow_ARES_ABD_1048576_11-5-5_2filesizeBig_slow_ARES_ABD_131072_11-5-5_1filesizeBig_slow_ARES_ABD_1048576_11-5-5_3,filesizeBig_slow_ARES_ABD_262144_11-5-5_2filesizeBig_slow_ARES_ABD_2097152_11-5-5_1filesizeBig_slow_ARES_ABD_262144_11-5-5_3,filesizeBig_slow_ARES_ABD_4194304_11-5-5_3filesizeBig_slow_ARES_ABD_4194304_11-5-5_2filesizeBig_slow_ARES_ABD_524288_11-5-5_1,filesizeBig_slow_ARES_ABD_65536_11-5-5_1filesizeBig_slow_ARES_ABD_131072_11-5-5_2filesizeBig_slow_ARES_ABD_1048576_11-5-5_1,filesizeBig_slow_ARES_ABD_131072_11-5-5_3filesizeBig_slow_ARES_ABD_2097152_11-5-5_2filesizeBig_slow_ARES_ABD_262144_11-5-5_1,filesizeBig_slow_ARES_ABD_2097152_11-5-5_3filesizeBig_slow_ABD_524288_11-5-5_1filesizeBig_slow_ABD_2097152_11-5-5_3,filesizeBig_slow_ABD_2097152_11-5-5_2filesizeBig_slow_ABD_65536_11-5-5_1filesizeBig_slow_ABD_1048576_11-5-5_1,filesizeBig_slow_ABD_131072_11-5-5_3filesizeBig_slow_ABD_131072_11-5-5_2filesizeBig_slow_ABD_4194304_11-5-5_2,filesizeBig_slow_ABD_262144_11-5-5_1filesizeBig_slow_ABD_4194304_11-5-5_3filesizeBig_slow_ABD_524288_11-5-5_2,filesizeBig_slow_ABD_2097152_11-5-5_1filesizeBig_slow_ABD_524288_11-5-5_3filesizeBig_slow_ABD_65536_11-5-5_2,filesizeBig_slow_ABD_1048576_11-5-5_3filesizeBig_slow_ABD_65536_11-5-5_3filesizeBig_slow_ABD_1048576_11-5-5_2,filesizeBig_slow_ABD_131072_11-5-5_1filesizeBig_slow_ABD_4194304_11-5-5_1filesizeBig_slow_ABD_262144_11-5-5_3,filesizeBig_slow_ABD_262144_11-5-5_2filesizeBig_slow_ARES_EC_131072_11-5-5_3filesizeBig_slow_ARES_EC_131072_11-5-5_2,filesizeBig_slow_ARES_EC_65536_11-5-5_2filesizeBig_slow_ARES_EC_4194304_11-5-5_2filesizeBig_slow_ARES_EC_262144_11-5-5_1,filesizeBig_slow_ARES_EC_65536_11-5-5_3filesizeBig_slow_ARES_EC_2097152_11-5-5_2filesizeBig_slow_ARES_EC_524288_11-5-5_1,filesizeBig_slow_ARES_EC_2097152_11-5-5_3filesizeBig_slow_ARES_EC_1048576_11-5-5_1filesizeBig_slow_ARES_EC_131072_11-5-5_1,filesizeBig_slow_ARES_EC_65536_11-5-5_1filesizeBig_slow_ARES_EC_262144_11-5-5_3filesizeBig_slow_ARES_EC_4194304_11-5-5_1,filesizeBig_slow_ARES_EC_262144_11-5-5_2filesizeBig_slow_ARES_EC_524288_11-5-5_2filesizeBig_slow_ARES_EC_2097152_11-5-5_1,filesizeBig_slow_ARES_EC_524288_11-5-5_3filesizeBig_slow_ARES_EC_1048576_11-5-5_2filesizeBig_slow_ARES_EC_1048576_11-5-5_3,filesizeRedisW_131072_11-5-5_1filesizeRedisW_8388608_11-5-5_2filesizeRedisW_1048576_11-5-5_3,filesizeRedisW_1048576_11-5-5_2filesizeRedisW_8388608_11-5-5_3filesizeRedisW_262144_11-5-5_2,filesizeRedisW_262144_11-5-5_3filesizeRedisW_2097152_11-5-5_1filesizeRedisW_4194304_11-5-5_1,filesizeRedisW_524288_11-5-5_3filesizeRedisW_65536_11-5-5_1filesizeRedisW_524288_11-5-5_2,filesizeRedisW_131072_11-5-5_2filesizeRedisW_8388608_11-5-5_1filesizeRedisW_1048576_11-5-5_1,filesizeRedisW_131072_11-5-5_3filesizeRedisW_262144_11-5-5_1filesizeRedisW_2097152_11-5-5_3,filesizeRedisW_2097152_11-5-5_2filesizeRedisW_4194304_11-5-5_2filesizeRedisW_65536_11-5-5_2,filesizeRedisW_524288_11-5-5_1filesizeRedisW_65536_11-5-5_3filesizeRedisW_4194304_11-5-5_3
filesize,19.666666666666668,20.0,17.0,20.333333333333332,20.666666666666668,20.333333333333332,17.333333333333332,17.0,19.0,19.0,19.0,21.0,17.666666666666668,18.666666666666668,20.333333333333332,19.0,18.666666666666668,19.666666666666668,18.666666666666668,18.666666666666668,19.0,17.333333333333332,18.666666666666668,18.666666666666668,19.333333333333332,18.666666666666668,19.333333333333332,19.666666666666668,20.0,20.333333333333332,20.333333333333332,18.0,20.0,18.666666666666668,19.666666666666668,19.0
mean_read_operation_latency,1.4344081999642608,2.4613440281276175,0.8237393753268795,2.718426450827751,1.9962645607757732,2.9673594405214487,0.7474505871173073,0.730523490530075,1.7319195121755058,1.1626924568378794,1.2745192290908016,2.7763267779347998,0.8767996667978878,1.2392995225600705,1.6689373618679433,1.2382640497893396,1.551763793113462,1.7019641290426903,1.1017214494841174,0.9834506031186612,1.5625128294519428,1.0291837865520501,2.2828421488745634,1.8650832002838602,2.0923776025473817,2.2679023718798272,2.0089514091642586,2.016952342790908,0.684368864462711,0.6767228327356278,0.6290494926800603,0.44530113131213384,0.6460764801650706,0.4971810097753962,0.5786821772669404,0.5476658538749519
median_read_operation_latency,1.3874523390168325,2.5534603772552655,0.8476957433476929,1.3600996707362065,2.002520790248527,3.485361130739693,0.8287605773999239,0.6024023771242791,1.0129967068442203,1.3805543433291896,0.8548508270122112,3.627541792755946,0.7029523217767709,0.8555545017515833,2.0209770015040704,1.2511815968798765,0.5668063527638443,0.8959988599480712,0.9092968853001657,1.2487669706159212,0.7231860445480851,1.1709853890840896,1.4633933800159578,1.7483666648153666,2.187726383848851,1.463552490475893,1.7192237478920291,2.138111996508851,0.6103475679391412,0.5985547280408209,0.6711290366186295,0.5190250486077275,0.5977604486841009,0.45703707543009653,0.6463231228771621,0.521874421376735
std_read_operation_latency,0.10328070748971073,1.371778297962998,0.15981376081962934,1.9465615047383487,0.3888711467696984,1.5924206105269032,0.1513617758630294,0.20997964630907723,1.3398403572140636,0.32524126963153344,0.5946986631306667,1.2290600151816027,0.3497248194208355,0.654216643069437,0.5500088185437503,0.6585148542661743,1.3938587740061892,1.2633388860478336,0.6471184699598121,0.38658049852597226,1.2972998788664842,0.21194063812702418,1.4781590488131577,0.7264289423177162,0.7176415452458439,1.4578826968503489,0.5859086622338058,0.1899559423047086,0.27831031314373156,0.21862367292123835,0.12209735802559078,0.10876909876261434,0.23431450658350186,0.11052255871535775,0.21306441241967156,0.2209526535203562
max_read_operation_latency,1.5776639128159151,4.093469240983337,1.0063896233206613,5.471201136767341,2.4693735696233925,4.606373555296624,0.8782805618678104,1.02658817008615,3.609643334256913,1.4045819434678708,2.1155495756480374,3.6631435655921663,1.3647146103483974,2.1602494934286223,2.093596840683924,2.03824037757999,3.522977632684575,3.48583513716,1.9727711736041968,1.2647636038918864,3.3950202949238593,1.186969408744102,4.358042155099159,2.807371018444173,2.9197435187525698,4.314126851944151,2.8261074771802237,2.1640143801080116,1.0561564255320701,0.9748662915879394,0.7530394805591787,0.525356507916178,0.9541431129280973,0.6480742381365271,0.7991512886317795,0.8302488226107089
min_read_operation_latency,1.3381083480600355,0.7371024661442498,0.6171327593122842,1.3239785449797055,1.5168993224553997,0.8103436355280282,0.5353106220841873,0.5625799243797956,0.5731184954253841,0.7029410837165778,0.8531572846121562,1.038294975456287,0.562732068268495,0.7020945725000056,0.8922382434158355,0.425370174908152,0.5655073938919667,0.7240583900199999,0.4230962895479897,0.4368212348481757,0.5693321488838846,0.7295965618279588,1.0270909115085742,1.0395119175920406,1.1696629050407243,1.0260277732194372,1.481523002420523,1.7487306517558607,0.3866025999169215,0.45674747857812326,0.4629799608623726,0.29152183741249604,0.38632587888301345,0.3864317157595652,0.29057212029187945,0.29087431763741184
mean_write_operation_latency,1.4823958780780282,2.208012862332636,0.8922917029731324,2.9147937422680745,1.933485237263934,2.8744227334066914,0.8179295700330208,0.6473128072427062,1.6947906999597906,0.9713872115381333,1.068430022432275,2.8340455878974367,0.7117141296318733,1.0385632880178841,1.5676307544727603,1.0955029041175004,1.4565027402639295,1.6268567913332952,0.9218987805505213,0.7791239803201023,1.5160758653786275,0.6173792654400411,1.126318091810521,1.0001099394189075,1.053548768869452,1.105359455030653,1.1001890923998192,1.0935284364278897,1.9166890975810797,1.8880275188226274,1.1849749573688022,0.7803735343894997,2.1846064579631617,0.8857335787643872,1.1367872245763622,1.016168202184354
median_write_operation_latency,1.4730183239239851,2.0892977091966167,0.9045931882805307,1.3318030587285175,2.0292240700878326,3.6560253784845265,0.8964554034321919,0.727461405128037,0.7682786637123791,1.198065692905744,0.5954158668291347,3.8246486102317725,0.5091647378316556,0.5854288916124787,1.8718476393680903,1.0453864799680306,0.34581593547581,0.6165605880360235,0.5913481036878366,1.0272898683159728,0.42328143593578715,0.7108060456081003,0.8604456542722255,1.0120230567519175,1.1356813970442527,0.8547768904443073,1.0044178258240062,1.1324950218882879,1.002405092422152,0.9965285958065652,1.1013484886376537,0.8747739024999317,1.063804033276392,0.7949092160072178,1.1291056526320171,0.8891683671701468
std_write_operation_latency,0.08378624519418502,1.1652848922555323,0.13463379104476986,2.238983243203563,0.253126974402293,1.427554857827815,0.11609649527666417,0.14991504171718992,1.5460039030674795,0.32407100456414156,0.6751480689834561,1.4381302500357684,0.33965494653008177,0.6960973926982899,0.696916864132975,0.6898160613791113,1.5720940628144267,1.5610885249599118,0.7025008641047417,0.3516147175897821,1.5980550855668112,0.1411780037214954,0.49122132377147915,0.23815229844571875,0.25067548797825906,0.45726016502409145,0.23618810357382283,0.06118252657395822,1.4990174302153747,1.4071291077133123,0.3515572730711698,0.14572217501974302,1.8402366894840605,0.19503794826685675,0.4601566006010679,0.41350131646636884
max_write_operation_latency,1.589379564286326,3.6908392142836535,1.0506884964026395,6.081194201487757,2.18433886092795,4.095667404959503,0.9035380449329968,0.7772206582227955,3.8730900666512014,1.2030054661526228,2.0232201774585703,3.877040915187812,1.1901870916527988,2.021985349637456,2.227389751006267,1.9642942231803027,3.6797792137842626,3.8319967342401795,1.898539254799936,1.0282161071200826,3.7756631851359557,0.7234743196997442,1.8150703490400484,1.2856466638808914,1.3111427533681417,1.7469225373679365,1.4251994787837758,1.1409492261600316,4.030225815367994,3.8745367738601346,1.6512216195761575,0.8918203052820172,4.7791065011397675,1.1566959834714652,1.7041631831016275,1.5740144451647067
