,throughputsEU1US2wEU0US0rEU1US0_slow_ABD_3-0-1_1throughputsEU1US2wEU0US0rEU1US0_slow_ABD_3-0-1_4throughputsEU1US2wEU0US0rEU1US0_slow_ABD_3-0-1_3throughputsEU1US2wEU0US0rEU1US0_slow_ABD_3-0-1_2throughputsEU1US2wEU0US0rEU1US0_slow_ABD_3-0-1_5,throughputsEU1US2wEU0US0rEU1US0_slow_ARES_ABD_3-0-1-0_5throughputsEU1US2wEU0US0rEU1US0_slow_ARES_ABD_3-0-1-0_2throughputsEU1US2wEU0US0rEU1US0_slow_ARES_ABD_3-0-1-0_3throughputsEU1US2wEU0US0rEU1US0_slow_ARES_ABD_3-0-1-0_4throughputsEU1US2wEU0US0rEU1US0_slow_ARES_ABD_3-0-1-0_1,throughputsEU1US2wEU0US0rEU1US0_slow_ARES_EC_3-0-1-0_5throughputsEU1US2wEU0US0rEU1US0_slow_ARES_EC_3-0-1-0_2throughputsEU1US2wEU0US0rEU1US0_slow_ARES_EC_3-0-1-0_3throughputsEU1US2wEU0US0rEU1US0_slow_ARES_EC_3-0-1-0_4throughputsEU1US2wEU0US0rEU1US0_slow_ARES_EC_3-0-1-0_1
mean_read_operation_latency,0.28707350563680517,0.6005640599810051,0.6009370367804892
median_read_operation_latency,0.2870683815208031,0.6006429132780758,0.6009890818559216
std_read_operation_latency,2.522146188006647e-05,0.00025922521740528895,0.00014437442119130816
max_read_operation_latency,0.2871215966203599,0.6008672423174721,0.6010929918490583
min_read_operation_latency,0.2870517556463601,0.6000859856728348,0.600745797658281
rEU,1.0,1.0,1.0
rUS,0.0,0.0,0.0
readers_no,1.0,1.0,1.0
reads_no,1000.0,1000.0,1000.0
recons_no,0.0,0.0,0.0
sEU,1.0,1.0,1.0
sUS,2.0,2.0,2.0
servers_no,3.0,3.0,3.0
succ_writes_no,0.0,0.0,0.0
unsucc_writes_no,0.0,0.0,0.0
wEU,0.0,0.0,0.0
wUS,0.0,0.0,0.0
writers_no,0.0,0.0,0.0
writes_no,0.0,0.0,0.0
