,reconsimplerandom_ARES_10-5-10_1reconsimplerandom_ARES_10-5-10_2reconsimplerandom_ARES_10-5-10_3reconsimplerandom_ARES_10-5-10_4reconsimplerandom_ARES_10-5-10_5reconsimplerandom_ARES_10-5-10_6,reconsimplerandom_ARES_10-5-15_1reconsimplerandom_ARES_10-5-15_2reconsimplerandom_ARES_10-5-15_3reconsimplerandom_ARES_10-5-15_4reconsimplerandom_ARES_10-5-15_5reconsimplerandom_ARES_10-5-15_6,reconsimplerandom_ARES_10-5-20_1reconsimplerandom_ARES_10-5-20_2reconsimplerandom_ARES_10-5-20_3reconsimplerandom_ARES_10-5-20_4reconsimplerandom_ARES_10-5-20_5reconsimplerandom_ARES_10-5-20_6,reconsimplerandom_ARES_10-5-25_1reconsimplerandom_ARES_10-5-25_2reconsimplerandom_ARES_10-5-25_3reconsimplerandom_ARES_10-5-25_4reconsimplerandom_ARES_10-5-25_5reconsimplerandom_ARES_10-5-25_6,reconsimplerandom_ARES_10-5-30_1reconsimplerandom_ARES_10-5-30_2reconsimplerandom_ARES_10-5-30_3reconsimplerandom_ARES_10-5-30_4reconsimplerandom_ARES_10-5-30_5reconsimplerandom_ARES_10-5-30_6,reconsimplerandom_ARES_10-5-35_1reconsimplerandom_ARES_10-5-35_2reconsimplerandom_ARES_10-5-35_3reconsimplerandom_ARES_10-5-35_4reconsimplerandom_ARES_10-5-35_5reconsimplerandom_ARES_10-5-35_6,reconsimplerandom_ARES_10-5-40_1reconsimplerandom_ARES_10-5-40_2reconsimplerandom_ARES_10-5-40_3reconsimplerandom_ARES_10-5-40_4reconsimplerandom_ARES_10-5-40_5reconsimplerandom_ARES_10-5-40_6,reconsimplerandom_ARES_10-5-45_1reconsimplerandom_ARES_10-5-45_2reconsimplerandom_ARES_10-5-45_3reconsimplerandom_ARES_10-5-45_4reconsimplerandom_ARES_10-5-45_5reconsimplerandom_ARES_10-5-45_6,reconsimplerandom_ARES_10-5-50_1reconsimplerandom_ARES_10-5-50_2reconsimplerandom_ARES_10-5-50_3reconsimplerandom_ARES_10-5-50_4reconsimplerandom_ARES_10-5-50_5reconsimplerandom_ARES_10-5-50_6,reconsimplerandom_ARES_10-5-5_1reconsimplerandom_ARES_10-5-5_2reconsimplerandom_ARES_10-5-5_3reconsimplerandom_ARES_10-5-5_4reconsimplerandom_ARES_10-5-5_5reconsimplerandom_ARES_10-5-5_6
mean_read_operation_latency_ABD,0.31069598073187327,0.42304528876655606,0.45308321857468586,0.4590546917234411,0.5309012908235032,0.5762236656861776,0.664536561819308,0.7331069172366677,0.892047253952558,0.336361300831641
median_read_operation_latency_ABD,0.3052837971437752,0.4074534998197691,0.4568600692313932,0.5010589910148141,0.5531304531447083,0.6220795095397327,0.7238381502095743,0.7774621219495155,0.9038664987732528,0.36210484321863295
std_read_operation_latency_ABD,0.032730356379130486,0.027602640964982363,0.030642320321602887,0.08287832311595231,0.05172344907490203,0.09817339423071857,0.1420212870672738,0.22573899413448162,0.32372970396158834,0.06788554353379209
max_read_operation_latency_ABD,0.3583959141913801,0.4729739433534009,0.50186883506532,0.5311762517759692,0.5774356780911625,0.6934255166641948,0.8090100393694115,1.053774744773865,1.2596349334549273,0.39727341808043126
min_read_operation_latency_ABD,0.25617389757452225,0.399245436198635,0.3980548373121645,0.29551430147370816,0.425745647689359,0.4132035365831339,0.43686271157800727,0.4372718116718985,0.4939987517264114,0.1890239237728374
sem_read_operation_latency_ABD,0.014637460358305932,0.012344276311244191,0.013703662245485455,0.03706431286969231,0.023131429632445914,0.04390447661635448,0.0635138504268872,0.10095354721142544,0.1447763248787989,0.03035933800621608
mean_read_operation_latency_EC,0.19288505168204295,0.24530049254027989,0.2513164566498583,0.2712433724107079,0.28793425521021404,0.3358116816186043,0.4624366506472614,0.4576772003111877,0.7778335245308933,0.21178768547536567
median_read_operation_latency_EC,0.18791450010918717,0.23237649814731143,0.24798282150832046,0.27079588232635965,0.286103990943049,0.3368222114352989,0.357270920384679,0.42452337928320416,0.6720792769631112,0.21459925300958907
std_read_operation_latency_EC,0.011873095700080013,0.021770488263216026,0.03968850915272611,0.04389020923684772,0.022114798002497268,0.02556888738205968,0.1781462750121886,0.097647989863083,0.42511991417680656,0.03236473390165689
max_read_operation_latency_EC,0.2178159832013528,0.28360471535259796,0.32661664307430727,0.3424797064731614,0.3303383005276751,0.37715882540438067,0.7984140947797729,0.6584411126661116,1.5407618216095011,0.2546715420318483
min_read_operation_latency_EC,0.18121457943968405,0.22483013577480682,0.1902776220625485,0.204694641667326,0.2617763804457044,0.291506948586711,0.31884494145592823,0.3461525638690359,0.3304038918506975,0.14699285862386963
