,throughputsEU1US2wEU1US0rEU1US0_slow_ABD_3-1-1_1throughputsEU1US2wEU1US0rEU1US0_slow_ABD_3-1-1_3throughputsEU1US2wEU1US0rEU1US0_slow_ABD_3-1-1_4throughputsEU1US2wEU1US0rEU1US0_slow_ABD_3-1-1_5throughputsEU1US2wEU1US0rEU1US0_slow_ABD_3-1-1_2
fast_ops_no,0.0
max_read_operation_latency,0.2947021826632699
max_write_operation_latency,0.2946968684951717
mean_read_operation_latency,0.29456933739264496
mean_write_operation_latency,0.2946631850217789
median_read_operation_latency,0.2945756588288205
median_write_operation_latency,0.29466297676319664
min_read_operation_latency,0.29442966699323736
min_write_operation_latency,0.2946382195458573
rEU,1.0
rUS,0.0
readers_no,1.0
reads_no,1000.0
recons_no,0.0
sEU,1.0
sUS,2.0
servers_no,3.0
std_read_operation_latency,8.817459601138803e-05
std_write_operation_latency,2.3026172458786946e-05
succ_writes_no,1000.0
succ_writes_perc,100.0
unsucc_writes_no,0.0
unsucc_writes_perc,0.0
wEU,1.0
wUS,0.0
writers_no,1.0
writes_no,1000.0
