,throughputsEU3US0wEU0US0rEU0US1_slow_ABD_3-0-1_3throughputsEU3US0wEU0US0rEU0US1_slow_ABD_3-0-1_4throughputsEU3US0wEU0US0rEU0US1_slow_ABD_3-0-1_5throughputsEU3US0wEU0US0rEU0US1_slow_ABD_3-0-1_2throughputsEU3US0wEU0US0rEU0US1_slow_ABD_3-0-1_1
fast_ops_no,0.0
max_read_operation_latency,0.286912053506986
mean_read_operation_latency,0.2868780182815977
median_read_operation_latency,0.2868886072679979
min_read_operation_latency,0.28682107381299604
rEU,0.0
rUS,1.0
readers_no,1.0
reads_no,1000.0
recons_no,0.0
sEU,3.0
sUS,0.0
servers_no,3.0
std_read_operation_latency,3.386989849735353e-05
succ_writes_no,0.0
unsucc_writes_no,0.0
wEU,0.0
wUS,0.0
writers_no,0.0
writes_no,0.0
