,throughputsEU3US0wEU1US0rEU0US0_slow_ABD_3-1-0_1throughputsEU3US0wEU1US0rEU0US0_slow_ABD_3-1-0_4throughputsEU3US0wEU1US0rEU0US0_slow_ABD_3-1-0_3throughputsEU3US0wEU1US0rEU0US0_slow_ABD_3-1-0_2throughputsEU3US0wEU1US0rEU0US0_slow_ABD_3-1-0_5
fast_ops_no,0.0
max_write_operation_latency,0.0026020285809936466
mean_write_operation_latency,0.0024469225851818923
median_write_operation_latency,0.002427496737946058
min_write_operation_latency,0.002266986886941595
rEU,0.0
rUS,0.0
readers_no,0.0
reads_no,0.0
recons_no,0.0
sEU,3.0
sUS,0.0
servers_no,3.0
std_write_operation_latency,0.00012552339589428835
succ_writes_no,1000.0
succ_writes_perc,100.0
unsucc_writes_no,0.0
unsucc_writes_perc,0.0
wEU,1.0
wUS,0.0
writers_no,1.0
writes_no,1000.0
