,throughputsEU0US3wEU0US0rEU1US0_slow_ABD_3-0-1_1throughputsEU0US3wEU0US0rEU1US0_slow_ABD_3-0-1_4throughputsEU0US3wEU0US0rEU1US0_slow_ABD_3-0-1_3throughputsEU0US3wEU0US0rEU1US0_slow_ABD_3-0-1_2throughputsEU0US3wEU0US0rEU1US0_slow_ABD_3-0-1_5
fast_ops_no,0.0
max_read_operation_latency,0.2872601714162738
mean_read_operation_latency,0.28722985991302413
median_read_operation_latency,0.28722172188249534
min_read_operation_latency,0.2871973607149557
rEU,1.0
rUS,0.0
readers_no,1.0
reads_no,1000.0
recons_no,0.0
sEU,0.0
sUS,3.0
servers_no,3.0
std_read_operation_latency,2.5782034354351488e-05
succ_writes_no,0.0
unsucc_writes_no,0.0
wEU,0.0
wUS,0.0
writers_no,0.0
writes_no,0.0
