,throughputsEU1US2wEU0US0rEU1US0_slow_ABD_3-0-1_1throughputsEU1US2wEU0US0rEU1US0_slow_ABD_3-0-1_4throughputsEU1US2wEU0US0rEU1US0_slow_ABD_3-0-1_3throughputsEU1US2wEU0US0rEU1US0_slow_ABD_3-0-1_2throughputsEU1US2wEU0US0rEU1US0_slow_ABD_3-0-1_5
fast_ops_no,0.0
max_read_operation_latency,0.2871215966203599
mean_read_operation_latency,0.28707350563680517
median_read_operation_latency,0.2870683815208031
min_read_operation_latency,0.2870517556463601
rEU,1.0
rUS,0.0
readers_no,1.0
reads_no,1000.0
recons_no,0.0
sEU,1.0
sUS,2.0
servers_no,3.0
std_read_operation_latency,2.522146188006647e-05
succ_writes_no,0.0
unsucc_writes_no,0.0
wEU,0.0
wUS,0.0
writers_no,0.0
writes_no,0.0
