,throughputsEU0US3wEU0US0rEU0US1_slow_ABD_3-0-1_1throughputsEU0US3wEU0US0rEU0US1_slow_ABD_3-0-1_4throughputsEU0US3wEU0US0rEU0US1_slow_ABD_3-0-1_3throughputsEU0US3wEU0US0rEU0US1_slow_ABD_3-0-1_2throughputsEU0US3wEU0US0rEU0US1_slow_ABD_3-0-1_5
fast_ops_no,0.0
max_read_operation_latency,0.0041665110875910615
mean_read_operation_latency,0.003976641482976265
median_read_operation_latency,0.004062698922847631
min_read_operation_latency,0.003703683921019547
rEU,0.0
rUS,1.0
readers_no,1.0
reads_no,1000.0
recons_no,0.0
sEU,0.0
sUS,3.0
servers_no,3.0
std_read_operation_latency,0.0001666496728239091
succ_writes_no,0.0
unsucc_writes_no,0.0
wEU,0.0
wUS,0.0
writers_no,0.0
writes_no,0.0
