,throughputsEU3US0wEU0US1rEU0US1_slow_ABD_3-1-1_1throughputsEU3US0wEU0US1rEU0US1_slow_ABD_3-1-1_5throughputsEU3US0wEU0US1rEU0US1_slow_ABD_3-1-1_2throughputsEU3US0wEU0US1rEU0US1_slow_ABD_3-1-1_3throughputsEU3US0wEU0US1rEU0US1_slow_ABD_3-1-1_4
fast_ops_no,0.0
max_read_operation_latency,0.28691668655813557
max_write_operation_latency,0.2871131434570125
mean_read_operation_latency,0.2868820956703974
mean_write_operation_latency,0.28707440947874274
median_read_operation_latency,0.2868767470079038
median_write_operation_latency,0.28707163236707856
min_read_operation_latency,0.2868477321660321
min_write_operation_latency,0.2870382325862301
rEU,0.0
rUS,1.0
readers_no,1.0
reads_no,1000.0
recons_no,0.0
sEU,3.0
sUS,0.0
servers_no,3.0
std_read_operation_latency,2.3758385780793448e-05
std_write_operation_latency,2.766509682857522e-05
succ_writes_no,1000.0
succ_writes_perc,100.0
unsucc_writes_no,0.0
unsucc_writes_perc,0.0
wEU,0.0
wUS,1.0
writers_no,1.0
writes_no,1000.0
