,throughputsEU2US1wEU0US1rEU0US1_slow_ABD_3-1-1_1throughputsEU2US1wEU0US1rEU0US1_slow_ABD_3-1-1_5throughputsEU2US1wEU0US1rEU0US1_slow_ABD_3-1-1_2throughputsEU2US1wEU0US1rEU0US1_slow_ABD_3-1-1_3throughputsEU2US1wEU0US1rEU0US1_slow_ABD_3-1-1_4
fast_ops_no,0.0
max_read_operation_latency,0.2867841280972498
max_write_operation_latency,0.2870103595319379
mean_read_operation_latency,0.28673405178967226
mean_write_operation_latency,0.28694292101609464
median_read_operation_latency,0.28672677265875973
median_write_operation_latency,0.286953480291093
min_read_operation_latency,0.28666834871405444
min_write_operation_latency,0.2868484812111419
rEU,0.0
rUS,1.0
readers_no,1.0
reads_no,1000.0
recons_no,0.0
sEU,2.0
sUS,1.0
servers_no,3.0
std_read_operation_latency,4.258884416372923e-05
std_write_operation_latency,5.776419945103837e-05
succ_writes_no,1000.0
succ_writes_perc,100.0
unsucc_writes_no,0.0
unsucc_writes_perc,0.0
wEU,0.0
wUS,1.0
writers_no,1.0
writes_no,1000.0
