,throughputsEU2US1wEU0US0rEU0US1_slow_ABD_3-0-1_3throughputsEU2US1wEU0US0rEU0US1_slow_ABD_3-0-1_4throughputsEU2US1wEU0US0rEU0US1_slow_ABD_3-0-1_5throughputsEU2US1wEU0US0rEU0US1_slow_ABD_3-0-1_2throughputsEU2US1wEU0US0rEU0US1_slow_ABD_3-0-1_1
fast_ops_no,0.0
max_read_operation_latency,0.28681615573883756
mean_read_operation_latency,0.2867665698997727
median_read_operation_latency,0.28677189007102427
min_read_operation_latency,0.28673135640097464
rEU,0.0
rUS,1.0
readers_no,1.0
reads_no,1000.0
recons_no,0.0
sEU,2.0
sUS,1.0
servers_no,3.0
std_read_operation_latency,3.058570740716032e-05
succ_writes_no,0.0
unsucc_writes_no,0.0
wEU,0.0
wUS,0.0
writers_no,0.0
writes_no,0.0
