,throughputsEU0US3wEU1US0rEU1US0_slow_ABD_3-1-1_1throughputsEU0US3wEU1US0rEU1US0_slow_ABD_3-1-1_3throughputsEU0US3wEU1US0rEU1US0_slow_ABD_3-1-1_4throughputsEU0US3wEU1US0rEU1US0_slow_ABD_3-1-1_5throughputsEU0US3wEU1US0rEU1US0_slow_ABD_3-1-1_2
fast_ops_no,0.0
max_read_operation_latency,0.28720903444240686
max_write_operation_latency,0.287384607621847
mean_read_operation_latency,0.28717821734462634
mean_write_operation_latency,0.2872817873888358
median_read_operation_latency,0.2871980772074021
median_write_operation_latency,0.28733814348364833
min_read_operation_latency,0.2871227128584869
min_write_operation_latency,0.2871111698682944
rEU,1.0
rUS,0.0
readers_no,1.0
reads_no,1000.0
recons_no,0.0
sEU,0.0
sUS,3.0
servers_no,3.0
std_read_operation_latency,3.20699082453418e-05
std_write_operation_latency,0.00010623643768683983
succ_writes_no,1000.0
succ_writes_perc,100.0
unsucc_writes_no,0.0
unsucc_writes_perc,0.0
wEU,1.0
wUS,0.0
writers_no,1.0
writes_no,1000.0
