,throughputsEU0US3wEU0US1rEU0US0_slow_ABD_3-1-0_1throughputsEU0US3wEU0US1rEU0US0_slow_ABD_3-1-0_2throughputsEU0US3wEU0US1rEU0US0_slow_ABD_3-1-0_5throughputsEU0US3wEU0US1rEU0US0_slow_ABD_3-1-0_4throughputsEU0US3wEU0US1rEU0US0_slow_ABD_3-1-0_3
fast_ops_no,0.0
max_write_operation_latency,0.004418625890262774
mean_write_operation_latency,0.004253798296811874
median_write_operation_latency,0.004304042556992499
min_write_operation_latency,0.003946966321091167
rEU,0.0
rUS,0.0
readers_no,0.0
reads_no,0.0
recons_no,0.0
sEU,0.0
sUS,3.0
servers_no,3.0
std_write_operation_latency,0.00016319351664980026
succ_writes_no,1000.0
succ_writes_perc,100.0
unsucc_writes_no,0.0
unsucc_writes_perc,0.0
wEU,0.0
wUS,1.0
writers_no,1.0
writes_no,1000.0
