,throughputsEU0US3wEU0US1rEU0US1_slow_ABD_3-1-1_2throughputsEU0US3wEU0US1rEU0US1_slow_ABD_3-1-1_5throughputsEU0US3wEU0US1rEU0US1_slow_ABD_3-1-1_4throughputsEU0US3wEU0US1rEU0US1_slow_ABD_3-1-1_3throughputsEU0US3wEU0US1rEU0US1_slow_ABD_3-1-1_1
fast_ops_no,0.0
max_read_operation_latency,0.00396661910804687
max_write_operation_latency,0.004099655094061745
mean_read_operation_latency,0.0038175497398115115
mean_write_operation_latency,0.003986586691040429
median_read_operation_latency,0.003831427101926238
median_write_operation_latency,0.00401826876616542
min_read_operation_latency,0.003664697280051769
min_write_operation_latency,0.0038707114339777034
rEU,0.0
rUS,1.0
readers_no,1.0
reads_no,1000.0
recons_no,0.0
sEU,0.0
sUS,3.0
servers_no,3.0
std_read_operation_latency,0.00010426266105629815
std_write_operation_latency,8.542293631285252e-05
succ_writes_no,1000.0
succ_writes_perc,100.0
unsucc_writes_no,0.0
unsucc_writes_perc,0.0
wEU,0.0
wUS,1.0
writers_no,1.0
writes_no,1000.0
