,throughputsEU3US0wEU1US0rEU1US0_slow_ARES_ABD_3-1-1-0_1throughputsEU3US0wEU1US0rEU1US0_slow_ARES_ABD_3-1-1-0_5throughputsEU3US0wEU1US0rEU1US0_slow_ARES_ABD_3-1-1-0_2throughputsEU3US0wEU1US0rEU1US0_slow_ARES_ABD_3-1-1-0_3throughputsEU3US0wEU1US0rEU1US0_slow_ARES_ABD_3-1-1-0_4
fast_ops_no,0.0
max_read_operation_latency,0.014675719158014544
max_write_operation_latency,0.01463973487610565
mean_read_operation_latency,0.01452456462174814
mean_read_operation_latency_ABD,0.01452456462174814
mean_write_operation_latency,0.014511644963614526
mean_write_operation_latency_ABD,0.014511644963614526
median_read_operation_latency,0.014503874427002302
median_write_operation_latency,0.014482276600880141
min_read_operation_latency,0.01440607322595315
min_write_operation_latency,0.014443511492008837
rEU,1.0
rUS,0.0
readers_no,1.0
reads_no,1000.0
recons_no,0.0
sEU,3.0
sUS,0.0
servers_no,3.0
std_read_operation_latency,8.899925705051627e-05
std_write_operation_latency,7.255751469521984e-05
succ_writes_no,1000.0
succ_writes_perc,100.0
unsucc_writes_no,0.0
unsucc_writes_perc,0.0
wEU,1.0
wUS,0.0
writers_no,1.0
writes_no,1000.0
