,throughputsEU2US1wEU0US1rEU0US0_slow_ARES_ABD_3-1-0-0_3throughputsEU2US1wEU0US1rEU0US0_slow_ARES_ABD_3-1-0-0_4throughputsEU2US1wEU0US1rEU0US0_slow_ARES_ABD_3-1-0-0_5throughputsEU2US1wEU0US1rEU0US0_slow_ARES_ABD_3-1-0-0_2throughputsEU2US1wEU0US1rEU0US0_slow_ARES_ABD_3-1-0-0_1
fast_ops_no,0.0
max_write_operation_latency,0.6451265874434321
mean_write_operation_latency,0.6342752755014197
mean_write_operation_latency_ABD,0.6342752755014197
median_write_operation_latency,0.6338751176450751
min_write_operation_latency,0.6240332277123962
rEU,0.0
rUS,0.0
readers_no,0.0
reads_no,0.0
recons_no,0.0
sEU,2.0
sUS,1.0
servers_no,3.0
std_write_operation_latency,0.006714807334725948
succ_writes_no,1000.0
succ_writes_perc,100.0
unsucc_writes_no,0.0
unsucc_writes_perc,0.0
wEU,0.0
wUS,1.0
writers_no,1.0
writes_no,1000.0
