,throughputsEU3US0wEU0US1rEU0US0_slow_ARES_ABD_3-1-0-0_1throughputsEU3US0wEU0US1rEU0US0_slow_ARES_ABD_3-1-0-0_2throughputsEU3US0wEU0US1rEU0US0_slow_ARES_ABD_3-1-0-0_5throughputsEU3US0wEU0US1rEU0US0_slow_ARES_ABD_3-1-0-0_4throughputsEU3US0wEU0US1rEU0US0_slow_ARES_ABD_3-1-0-0_3
fast_ops_no,0.0
max_write_operation_latency,0.6059707269158534
mean_write_operation_latency,0.6054633511319872
mean_write_operation_latency_ABD,0.6054633511319872
median_write_operation_latency,0.6055986465658352
min_write_operation_latency,0.6047079725257063
rEU,0.0
rUS,0.0
readers_no,0.0
reads_no,0.0
recons_no,0.0
sEU,3.0
sUS,0.0
servers_no,3.0
std_write_operation_latency,0.0004311279997394843
succ_writes_no,1000.0
succ_writes_perc,100.0
unsucc_writes_no,0.0
unsucc_writes_perc,0.0
wEU,0.0
wUS,1.0
writers_no,1.0
writes_no,1000.0
