,throughputsEU0US3wEU0US0rEU0US1_slow_ARES_ABD_3-0-1-0_5throughputsEU0US3wEU0US0rEU0US1_slow_ARES_ABD_3-0-1-0_2throughputsEU0US3wEU0US0rEU0US1_slow_ARES_ABD_3-0-1-0_3throughputsEU0US3wEU0US0rEU0US1_slow_ARES_ABD_3-0-1-0_4throughputsEU0US3wEU0US0rEU0US1_slow_ARES_ABD_3-0-1-0_1
fast_ops_no,0.0
max_read_operation_latency,0.036656147213914664
mean_read_operation_latency,0.032631432914052856
mean_read_operation_latency_ABD,0.032631432914052856
median_read_operation_latency,0.034802320366259666
min_read_operation_latency,0.021742278027784778
rEU,0.0
rUS,1.0
readers_no,1.0
reads_no,1000.0
recons_no,0.0
sEU,0.0
sUS,3.0
servers_no,3.0
std_read_operation_latency,0.005535176508237288
succ_writes_no,0.0
unsucc_writes_no,0.0
wEU,0.0
wUS,0.0
writers_no,0.0
writes_no,0.0
