,throughputsEU0US3wEU0US1rEU0US1_slow_ARES_ABD_3-1-1-0_3throughputsEU0US3wEU0US1rEU0US1_slow_ARES_ABD_3-1-1-0_4throughputsEU0US3wEU0US1rEU0US1_slow_ARES_ABD_3-1-1-0_5throughputsEU0US3wEU0US1rEU0US1_slow_ARES_ABD_3-1-1-0_2throughputsEU0US3wEU0US1rEU0US1_slow_ARES_ABD_3-1-1-0_1
fast_ops_no,0.0
max_read_operation_latency,0.023254665397114876
max_write_operation_latency,0.02426896471793589
mean_read_operation_latency,0.02216070097024058
mean_read_operation_latency_ABD,0.02216070097024058
mean_write_operation_latency,0.02192693656457268
mean_write_operation_latency_ABD,0.02192693656457268
median_read_operation_latency,0.022137479567034463
median_write_operation_latency,0.02173181745997863
min_read_operation_latency,0.02118316906594555
min_write_operation_latency,0.020869268844966427
rEU,0.0
rUS,1.0
readers_no,1.0
reads_no,1000.0
recons_no,0.0
sEU,0.0
sUS,3.0
servers_no,3.0
std_read_operation_latency,0.0006579846095115604
std_write_operation_latency,0.0012388493837326854
succ_writes_no,1000.0
succ_writes_perc,100.0
unsucc_writes_no,0.0
unsucc_writes_perc,0.0
wEU,0.0
wUS,1.0
writers_no,1.0
writes_no,1000.0
