,throughputsEU0US3wEU0US0rEU1US0_slow_ARES_ABD_3-0-1-0_1throughputsEU0US3wEU0US0rEU1US0_slow_ARES_ABD_3-0-1-0_4throughputsEU0US3wEU0US0rEU1US0_slow_ARES_ABD_3-0-1-0_3throughputsEU0US3wEU0US0rEU1US0_slow_ARES_ABD_3-0-1-0_2throughputsEU0US3wEU0US0rEU1US0_slow_ARES_ABD_3-0-1-0_5
fast_ops_no,0.0
max_read_operation_latency,0.6010451224363642
mean_read_operation_latency,0.60078877570373
mean_read_operation_latency_ABD,0.60078877570373
median_read_operation_latency,0.6006946732609649
min_read_operation_latency,0.600663799764996
rEU,1.0
rUS,0.0
readers_no,1.0
reads_no,1000.0
recons_no,0.0
sEU,0.0
sUS,3.0
servers_no,3.0
std_read_operation_latency,0.0001433544651355858
succ_writes_no,0.0
unsucc_writes_no,0.0
wEU,0.0
wUS,0.0
writers_no,0.0
writes_no,0.0
