,throughputsEU2US1wEU0US1rEU0US1_slow_ARES_ABD_3-1-1-0_1throughputsEU2US1wEU0US1rEU0US1_slow_ARES_ABD_3-1-1-0_5throughputsEU2US1wEU0US1rEU0US1_slow_ARES_ABD_3-1-1-0_2throughputsEU2US1wEU0US1rEU0US1_slow_ARES_ABD_3-1-1-0_3throughputsEU2US1wEU0US1rEU0US1_slow_ARES_ABD_3-1-1-0_4
fast_ops_no,0.0
max_read_operation_latency,0.6203075782918605
max_write_operation_latency,0.6201921236488707
mean_read_operation_latency,0.6111586508287757
mean_read_operation_latency_ABD,0.6111586508287757
mean_write_operation_latency,0.6109537418770138
mean_write_operation_latency_ABD,0.6109537418770138
median_read_operation_latency,0.6056585364072962
median_write_operation_latency,0.6054261597746518
min_read_operation_latency,0.6046114279721078
min_write_operation_latency,0.604182675936303
rEU,0.0
rUS,1.0
readers_no,1.0
reads_no,1000.0
recons_no,0.0
sEU,2.0
sUS,1.0
servers_no,3.0
std_read_operation_latency,0.0072924653196230526
std_write_operation_latency,0.007432150396335875
succ_writes_no,1000.0
succ_writes_perc,100.0
unsucc_writes_no,0.0
unsucc_writes_perc,0.0
wEU,0.0
wUS,1.0
writers_no,1.0
writes_no,1000.0
