,throughputsEU3US0wEU1US0rEU0US0_slow_ARES_ABD_3-1-0-0_1throughputsEU3US0wEU1US0rEU0US0_slow_ARES_ABD_3-1-0-0_2throughputsEU3US0wEU1US0rEU0US0_slow_ARES_ABD_3-1-0-0_5throughputsEU3US0wEU1US0rEU0US0_slow_ARES_ABD_3-1-0-0_4throughputsEU3US0wEU1US0rEU0US0_slow_ARES_ABD_3-1-0-0_3
fast_ops_no,0.0
max_write_operation_latency,0.0194046658629959
mean_write_operation_latency,0.01879583122166805
mean_write_operation_latency_ABD,0.01879583122166805
median_write_operation_latency,0.018710678732866654
min_write_operation_latency,0.018527025603485528
rEU,0.0
rUS,0.0
readers_no,0.0
reads_no,0.0
recons_no,0.0
sEU,3.0
sUS,0.0
servers_no,3.0
std_write_operation_latency,0.0003189725958819684
succ_writes_no,1000.0
succ_writes_perc,100.0
unsucc_writes_no,0.0
unsucc_writes_perc,0.0
wEU,1.0
wUS,0.0
writers_no,1.0
writes_no,1000.0
