,throughputsEU2US1wEU0US0rEU0US1_slow_ARES_ABD_3-0-1-0_1throughputsEU2US1wEU0US0rEU0US1_slow_ARES_ABD_3-0-1-0_3throughputsEU2US1wEU0US0rEU0US1_slow_ARES_ABD_3-0-1-0_4throughputsEU2US1wEU0US0rEU0US1_slow_ARES_ABD_3-0-1-0_5throughputsEU2US1wEU0US0rEU0US1_slow_ARES_ABD_3-0-1-0_2
fast_ops_no,0.0
max_read_operation_latency,0.6055975479461777
mean_read_operation_latency,0.6048995371106178
mean_read_operation_latency_ABD,0.6048995371106178
median_read_operation_latency,0.6049054581420497
min_read_operation_latency,0.6039441860708102
rEU,0.0
rUS,1.0
readers_no,1.0
reads_no,874.6
recons_no,0.0
sEU,2.0
sUS,1.0
servers_no,3.0
std_read_operation_latency,0.00062057513089952
succ_writes_no,0.0
unsucc_writes_no,0.0
wEU,0.0
wUS,0.0
writers_no,0.0
writes_no,0.0
