,throughputsEU1US2wEU1US0rEU1US0_slow_ARES_ABD_3-1-1-0_3throughputsEU1US2wEU1US0rEU1US0_slow_ARES_ABD_3-1-1-0_4throughputsEU1US2wEU1US0rEU1US0_slow_ARES_ABD_3-1-1-0_5throughputsEU1US2wEU1US0rEU1US0_slow_ARES_ABD_3-1-1-0_2throughputsEU1US2wEU1US0rEU1US0_slow_ARES_ABD_3-1-1-0_1
fast_ops_no,0.0
max_read_operation_latency,0.6161626445327857
max_write_operation_latency,0.6163196218118392
mean_read_operation_latency,0.6156971988851787
mean_read_operation_latency_ABD,0.6156971988851787
mean_write_operation_latency,0.6160381855319603
mean_write_operation_latency_ABD,0.6160381855319603
median_read_operation_latency,0.6157731497269852
median_write_operation_latency,0.6159492683596182
min_read_operation_latency,0.6152443565440772
min_write_operation_latency,0.6157273921200831
rEU,1.0
rUS,0.0
readers_no,1.0
reads_no,1000.0
recons_no,0.0
sEU,1.0
sUS,2.0
servers_no,3.0
std_read_operation_latency,0.00031606246585538355
std_write_operation_latency,0.00023221448403356901
succ_writes_no,1000.0
succ_writes_perc,100.0
unsucc_writes_no,0.0
unsucc_writes_perc,0.0
wEU,1.0
wUS,0.0
writers_no,1.0
writes_no,1000.0
