,throughputsEU3US0wEU0US1rEU0US1_slow_ARES_ABD_3-1-1-0_4throughputsEU3US0wEU0US1rEU0US1_slow_ARES_ABD_3-1-1-0_3throughputsEU3US0wEU0US1rEU0US1_slow_ARES_ABD_3-1-1-0_2throughputsEU3US0wEU0US1rEU0US1_slow_ARES_ABD_3-1-1-0_5throughputsEU3US0wEU0US1rEU0US1_slow_ARES_ABD_3-1-1-0_1
fast_ops_no,0.0
max_read_operation_latency,0.6056706849508919
max_write_operation_latency,0.6055074510980194
mean_read_operation_latency,0.605317426192775
mean_read_operation_latency_ABD,0.605317426192775
mean_write_operation_latency,0.604876417777405
mean_write_operation_latency_ABD,0.604876417777405
median_read_operation_latency,0.60534922482424
median_write_operation_latency,0.6050167590279453
min_read_operation_latency,0.6047119912938215
min_write_operation_latency,0.603901592205948
rEU,0.0
rUS,1.0
readers_no,1.0
reads_no,1000.0
recons_no,0.0
sEU,3.0
sUS,0.0
servers_no,3.0
std_read_operation_latency,0.0003298713393514546
std_write_operation_latency,0.0006001215837674831
succ_writes_no,1000.0
succ_writes_perc,100.0
unsucc_writes_no,0.0
unsucc_writes_perc,0.0
wEU,0.0
wUS,1.0
writers_no,1.0
writes_no,1000.0
