,reconsimple_ARES_10-5-10_1reconsimple_ARES_10-5-10_2reconsimple_ARES_10-5-10_3reconsimple_ARES_10-5-10_4reconsimple_ARES_10-5-10_5reconsimple_ARES_10-5-10_6,reconsimple_ARES_10-5-15_1reconsimple_ARES_10-5-15_2reconsimple_ARES_10-5-15_3reconsimple_ARES_10-5-15_4reconsimple_ARES_10-5-15_5reconsimple_ARES_10-5-15_6,reconsimple_ARES_10-5-20_1reconsimple_ARES_10-5-20_2reconsimple_ARES_10-5-20_3reconsimple_ARES_10-5-20_4reconsimple_ARES_10-5-20_5reconsimple_ARES_10-5-20_6,reconsimple_ARES_10-5-25_1reconsimple_ARES_10-5-25_2reconsimple_ARES_10-5-25_3reconsimple_ARES_10-5-25_4reconsimple_ARES_10-5-25_5reconsimple_ARES_10-5-25_6,reconsimple_ARES_10-5-30_1reconsimple_ARES_10-5-30_2reconsimple_ARES_10-5-30_3reconsimple_ARES_10-5-30_4reconsimple_ARES_10-5-30_5reconsimple_ARES_10-5-30_6,reconsimple_ARES_10-5-35_1reconsimple_ARES_10-5-35_2reconsimple_ARES_10-5-35_3reconsimple_ARES_10-5-35_4reconsimple_ARES_10-5-35_5reconsimple_ARES_10-5-35_6,reconsimple_ARES_10-5-40_1reconsimple_ARES_10-5-40_2reconsimple_ARES_10-5-40_3reconsimple_ARES_10-5-40_4reconsimple_ARES_10-5-40_5reconsimple_ARES_10-5-40_6,reconsimple_ARES_10-5-45_1reconsimple_ARES_10-5-45_2reconsimple_ARES_10-5-45_3reconsimple_ARES_10-5-45_4reconsimple_ARES_10-5-45_5reconsimple_ARES_10-5-45_6,reconsimple_ARES_10-5-50_1reconsimple_ARES_10-5-50_2reconsimple_ARES_10-5-50_3reconsimple_ARES_10-5-50_4reconsimple_ARES_10-5-50_5reconsimple_ARES_10-5-50_6,reconsimple_ARES_10-5-5_1reconsimple_ARES_10-5-5_2reconsimple_ARES_10-5-5_3reconsimple_ARES_10-5-5_4reconsimple_ARES_10-5-5_5reconsimple_ARES_10-5-5_6
std_recon_operation_latency,0.6698759087425057,1.03200152887671,0.6953640955278583,0.6562433259277948,2.085140417714019,0.5598156037521757,1.1059650879711098,0.5910340913896828,0.7915225942365108,0.74923540075786
max_recon_operation_latency,2.83814051366547,4.359565290832204,2.6852879928337643,3.442597745666717,6.932682537496778,2.7016983086662854,4.3741496460000535,2.877615579165043,3.7039049903323757,2.8153157566666778
min_recon_operation_latency,0.9992553016666837,1.1312510620003497,1.1094425720002619,1.296739470166358,1.1582492243317877,1.1927869463324896,1.1993489291659596,1.0646259968355782,1.4398058206679707,0.9829935229990951
sem_recon_operation_latency,0.2995776136875377,0.46152511429040716,0.31097627734258976,0.29348093731101993,0.9325031433281706,0.2799078018760878,0.4946026234889874,0.2643184810734308,0.3539796652879643,0.3350682574487745
mean_write_operation_latency_ABD,0.19069886717061912,0.20673013119617797,0.2162698205983026,0.23887094244649654,0.2638905517941037,0.3116579430512226,0.3717243733920658,0.45807789571818786,0.5622670457545559,0.19730771462642946
median_write_operation_latency_ABD,0.15282591291304948,0.17857133652496116,0.19664375574863807,0.23203923739512133,0.2604145706487492,0.3196850422560772,0.3991389249392693,0.5326378477842102,0.6677803503498185,0.17914086212720143
std_write_operation_latency_ABD,0.05896022886421843,0.05068544064315803,0.04506781373942819,0.027257978752178665,0.011380483681539872,0.03945700145560359,0.07453583881169944,0.13846061336418908,0.20390433600340863,0.06101707135660134
max_write_operation_latency_ABD,0.27447765046345446,0.2787340436517571,0.27876954138982823,0.27913924756235386,0.28048309429606333,0.3593289171671253,0.46143041685864106,0.5815887012089749,0.7749767689078626,0.2756565286416024
min_write_operation_latency_ABD,0.1438362080588273,0.16021348995042223,0.17122071166116362,0.20860227159171157,0.2468859359558618,0.2527122279766417,0.2673848625432725,0.2610049885305549,0.2780662206003212,0.1383591762024599
sem_write_operation_latency_ABD,0.026367815941867528,0.022667218149526405,0.020154939023732086,0.012190138683823279,0.0050895070257500445,0.017645707488607557,0.033333440468585426,0.06192146873772853,0.0911887912421159,0.027287663868263184
mean_write_operation_latency_EC,0.08065421121948453,0.08333322943165647,0.08647212688521737,0.08737624872895887,0.09262129293622108,0.09147659985406258,0.09909555575986924,0.11204182038870876,0.1271048228922421,0.08537740107915175
median_write_operation_latency_EC,0.07704605136381337,0.08077502988644376,0.0841463254093943,0.08340424641129629,0.08839172652443875,0.09102059061560508,0.09938447429341216,0.11202642068242884,0.12397543145672028,0.08232530637028777
std_write_operation_latency_EC,0.009388440847338945,0.008521162908365102,0.010876470378405024,0.008618053887218962,0.007485714467801408,0.0026550225930825535,0.006015498452187147,0.005508443429202113,0.015263617594006382,0.00883929282934511
max_write_operation_latency_EC,0.097893357349881,0.0948943945574842,0.10344786187182761,0.10212584124257099,0.10351681012880946,0.09591554124436934,0.10610115041457595,0.12099840248273301,0.14641226007283534,0.10186578044808095
min_write_operation_latency_EC,0.07132560277412044,0.07250018566511894,0.07399464357037618,0.07843391911287853,0.08593922770152695,0.0878095894637375,0.08900764653925736,0.10480436109700508,0.11008491727847144,0.07708887734917472
sem_write_operation_latency_EC,0.004198638387477122,0.0038107799020908367,0.0048641054242752986,0.003854110865115581,0.0033477132820315223,0.0011873621999860709,0.002690212691527046,0.0024634507915815953,0.006826097304552012,0.003953051927888423
mean_write_operation_latency_total,0.12689053789440044,0.1409001650488669,0.14270553983003081,0.15329461616784604,0.16386813040659035,0.18427253568439886,0.19860943819932397,0.22512978146440013,0.2595929536217409,0.13344325189932282
median_write_operation_latency_total,0.1101441341833015,0.12417246879505911,0.1330683646266789,0.14744668361001156,0.16055432076000214,0.18557560444334736,0.1942524477215678,0.23084283607996742,0.2551870585734165,0.1232831553495771
std_write_operation_latency_total,0.025628261478683013,0.028214496817227454,0.024195319753956182,0.01445415691567367,0.008398790470466938,0.012469109439721364,0.02798424544774107,0.04045289987395809,0.058501619985354456,0.028903390197874444
max_write_operation_latency_total,0.16341574480650403,0.18538870535332536,0.179153003506799,0.17331324393674247,0.18139442768314135,0.2029677174866326,0.23687229193001258,0.27586719247331837,0.35721856068328633,0.17273542674665807
min_write_operation_latency_total,0.10723755323006723,0.11594797112661277,0.11670043191003059,0.1384038607934902,0.15623518703329559,0.16744418397637978,0.16571157982002965,0.17289455320666697,0.19214899873334312,0.10522952814998765
sem_write_operation_latency_total,0.0114613069622949,0.012617906566854412,0.010820475941437903,0.006464095484179005,0.003756053284148302,0.005576355265220258,0.012514935024037615,0.018091086801032594,0.026162719816222566,0.012925989052529672
readers_no,10.0,15.0,20.0,25.0,30.0,35.0,40.0,45.0,50.0,5.0
reads_no,600.0,900.0,1200.0,1500.0,1800.0,2100.0,2400.0,2700.0,3000.0,280.0
recons_no,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0
servers_no,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
succ_writes_no,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,290.0
unsucc_writes_no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
writers_no,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
writes_no,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,290.0
succ_writes_perc,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
unsucc_writes_perc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
