,throughputsEU0US3wEU0US1rEU0US1_slow_ARES_EC_3-1-1-0_1throughputsEU0US3wEU0US1rEU0US1_slow_ARES_EC_3-1-1-0_4throughputsEU0US3wEU0US1rEU0US1_slow_ARES_EC_3-1-1-0_3throughputsEU0US3wEU0US1rEU0US1_slow_ARES_EC_3-1-1-0_2throughputsEU0US3wEU0US1rEU0US1_slow_ARES_EC_3-1-1-0_5
fast_ops_no,0.0
max_read_operation_latency,0.022519074228090175
max_write_operation_latency,0.021931656948989256
mean_read_operation_latency,0.022011282254027896
mean_read_operation_latency_EC,0.022011282254027896
mean_write_operation_latency,0.021515686979262684
mean_write_operation_latency_EC,0.021515686979262684
median_read_operation_latency,0.02187655693290435
median_write_operation_latency,0.02146414285692299
min_read_operation_latency,0.021500809721932454
min_write_operation_latency,0.021303386023108033
rEU,0.0
rUS,1.0
readers_no,1.0
reads_no,1000.0
recons_no,0.0
sEU,0.0
sUS,3.0
servers_no,3.0
std_read_operation_latency,0.00035991530610417026
std_write_operation_latency,0.0002296030314138206
succ_writes_no,1000.0
succ_writes_perc,100.0
unsucc_writes_no,0.0
unsucc_writes_perc,0.0
wEU,0.0
wUS,1.0
writers_no,1.0
writes_no,1000.0
