,throughputsEU3US0wEU1US0rEU0US0_slow_ARES_EC_3-1-0-0_1throughputsEU3US0wEU1US0rEU0US0_slow_ARES_EC_3-1-0-0_2throughputsEU3US0wEU1US0rEU0US0_slow_ARES_EC_3-1-0-0_5throughputsEU3US0wEU1US0rEU0US0_slow_ARES_EC_3-1-0-0_4throughputsEU3US0wEU1US0rEU0US0_slow_ARES_EC_3-1-0-0_3
fast_ops_no,0.0
max_write_operation_latency,0.020515095668408322
mean_write_operation_latency,0.019505748905648945
mean_write_operation_latency_EC,0.019505748905648945
median_write_operation_latency,0.019196904034208272
min_write_operation_latency,0.019172826296155108
rEU,0.0
rUS,0.0
readers_no,0.0
reads_no,0.0
recons_no,0.0
sEU,3.0
sUS,0.0
servers_no,3.0
std_write_operation_latency,0.0005157876864865091
succ_writes_no,1000.0
succ_writes_perc,100.0
unsucc_writes_no,0.0
unsucc_writes_perc,0.0
wEU,1.0
wUS,0.0
writers_no,1.0
writes_no,1000.0
