,throughputsEU0US3wEU0US1rEU0US0_slow_ARES_EC_3-1-0-0_1throughputsEU0US3wEU0US1rEU0US0_slow_ARES_EC_3-1-0-0_5throughputsEU0US3wEU0US1rEU0US0_slow_ARES_EC_3-1-0-0_2throughputsEU0US3wEU0US1rEU0US0_slow_ARES_EC_3-1-0-0_3throughputsEU0US3wEU0US1rEU0US0_slow_ARES_EC_3-1-0-0_4
fast_ops_no,0.0
max_write_operation_latency,0.022841543437854852
mean_write_operation_latency,0.02178105595163943
mean_write_operation_latency_EC,0.02178105595163943
median_write_operation_latency,0.021745229687236134
min_write_operation_latency,0.021048598316279823
rEU,0.0
rUS,0.0
readers_no,0.0
reads_no,0.0
recons_no,0.0
sEU,0.0
sUS,3.0
servers_no,3.0
std_write_operation_latency,0.000601130200909207
succ_writes_no,1000.0
succ_writes_perc,100.0
unsucc_writes_no,0.0
unsucc_writes_perc,0.0
wEU,0.0
wUS,1.0
writers_no,1.0
writes_no,1000.0
