,throughputsEU2US1wEU0US1rEU0US1_slow_ARES_EC_3-1-1-0_2throughputsEU2US1wEU0US1rEU0US1_slow_ARES_EC_3-1-1-0_5throughputsEU2US1wEU0US1rEU0US1_slow_ARES_EC_3-1-1-0_4throughputsEU2US1wEU0US1rEU0US1_slow_ARES_EC_3-1-1-0_3throughputsEU2US1wEU0US1rEU0US1_slow_ARES_EC_3-1-1-0_1
fast_ops_no,0.0
max_read_operation_latency,0.6742114352098579
max_write_operation_latency,0.6728324190440326
mean_read_operation_latency,0.6288853009251063
mean_read_operation_latency_EC,0.6288853009251063
mean_write_operation_latency,0.6282427760877152
mean_write_operation_latency_EC,0.6282427760877152
median_read_operation_latency,0.6207589371607173
median_write_operation_latency,0.620629238325142
min_read_operation_latency,0.6061918140840135
min_write_operation_latency,0.6063626899889787
rEU,0.0
rUS,1.0
readers_no,1.0
reads_no,1000.0
recons_no,0.0
sEU,2.0
sUS,1.0
servers_no,3.0
std_read_operation_latency,0.023436665319953715
std_write_operation_latency,0.02297505653564074
succ_writes_no,1000.0
succ_writes_perc,100.0
unsucc_writes_no,0.0
unsucc_writes_perc,0.0
wEU,0.0
wUS,1.0
writers_no,1.0
writes_no,1000.0
