,throughputsEU3US0wEU0US0rEU1US0_slow_ARES_EC_3-0-1-0_1throughputsEU3US0wEU0US0rEU1US0_slow_ARES_EC_3-0-1-0_3throughputsEU3US0wEU0US0rEU1US0_slow_ARES_EC_3-0-1-0_4throughputsEU3US0wEU0US0rEU1US0_slow_ARES_EC_3-0-1-0_5throughputsEU3US0wEU0US0rEU1US0_slow_ARES_EC_3-0-1-0_2
fast_ops_no,0.0
max_read_operation_latency,0.019816833547258283
mean_read_operation_latency,0.019633603443700125
mean_read_operation_latency_EC,0.019633603443700125
median_read_operation_latency,0.01974422882145154
min_read_operation_latency,0.01938523260402144
rEU,1.0
rUS,0.0
readers_no,1.0
reads_no,1000.0
recons_no,0.0
sEU,3.0
sUS,0.0
servers_no,3.0
std_read_operation_latency,0.00017343132312153998
succ_writes_no,0.0
unsucc_writes_no,0.0
wEU,0.0
wUS,0.0
writers_no,0.0
writes_no,0.0
