,throughputsEU0US3wEU0US0rEU0US1_slow_ARES_EC_3-0-1-0_1throughputsEU0US3wEU0US0rEU0US1_slow_ARES_EC_3-0-1-0_3throughputsEU0US3wEU0US0rEU0US1_slow_ARES_EC_3-0-1-0_4throughputsEU0US3wEU0US0rEU0US1_slow_ARES_EC_3-0-1-0_5throughputsEU0US3wEU0US0rEU0US1_slow_ARES_EC_3-0-1-0_2
fast_ops_no,0.0
max_read_operation_latency,0.022264402956934645
mean_read_operation_latency,0.021606561710883397
mean_read_operation_latency_EC,0.021606561710883397
median_read_operation_latency,0.021234570903878192
min_read_operation_latency,0.021130644602526446
rEU,0.0
rUS,1.0
readers_no,1.0
reads_no,1000.0
recons_no,0.0
sEU,0.0
sUS,3.0
servers_no,3.0
std_read_operation_latency,0.0005080313137472872
succ_writes_no,0.0
unsucc_writes_no,0.0
wEU,0.0
wUS,0.0
writers_no,0.0
writes_no,0.0
