,throughputsEU1US2wEU1US0rEU1US0_slow_ARES_EC_3-1-1-0_1throughputsEU1US2wEU1US0rEU1US0_slow_ARES_EC_3-1-1-0_5throughputsEU1US2wEU1US0rEU1US0_slow_ARES_EC_3-1-1-0_2throughputsEU1US2wEU1US0rEU1US0_slow_ARES_EC_3-1-1-0_3throughputsEU1US2wEU1US0rEU1US0_slow_ARES_EC_3-1-1-0_4
fast_ops_no,0.0
max_read_operation_latency,0.6171939771460311
max_write_operation_latency,0.6163949102629122
mean_read_operation_latency,0.6170147686946671
mean_read_operation_latency_EC,0.6170147686946671
mean_write_operation_latency,0.6162505273773801
mean_write_operation_latency_EC,0.6162505273773801
median_read_operation_latency,0.6170058944368502
median_write_operation_latency,0.6162693681211385
min_read_operation_latency,0.6168835365408304
min_write_operation_latency,0.616088036125031
rEU,1.0
rUS,0.0
readers_no,1.0
reads_no,1000.0
recons_no,0.0
sEU,1.0
sUS,2.0
servers_no,3.0
std_read_operation_latency,0.00012053796900804869
std_write_operation_latency,0.00010839215324410184
succ_writes_no,1000.0
succ_writes_perc,100.0
unsucc_writes_no,0.0
unsucc_writes_perc,0.0
wEU,1.0
wUS,0.0
writers_no,1.0
writes_no,1000.0
