,throughputsEU3US0wEU0US1rEU0US1_slow_ARES_EC_3-1-1-0_4throughputsEU3US0wEU0US1rEU0US1_slow_ARES_EC_3-1-1-0_3throughputsEU3US0wEU0US1rEU0US1_slow_ARES_EC_3-1-1-0_2throughputsEU3US0wEU0US1rEU0US1_slow_ARES_EC_3-1-1-0_5throughputsEU3US0wEU0US1rEU0US1_slow_ARES_EC_3-1-1-0_1
fast_ops_no,0.0
max_read_operation_latency,0.6066555826221302
max_write_operation_latency,0.6061404400819156
mean_read_operation_latency,0.6060539044827805
mean_read_operation_latency_EC,0.6060539044827805
mean_write_operation_latency,0.6058182564677933
mean_write_operation_latency_EC,0.6058182564677933
median_read_operation_latency,0.6063858396598371
median_write_operation_latency,0.6059378003901075
min_read_operation_latency,0.6048729546661343
min_write_operation_latency,0.6054095535000815
rEU,0.0
rUS,1.0
readers_no,1.0
reads_no,1000.0
recons_no,0.0
sEU,3.0
sUS,0.0
servers_no,3.0
std_read_operation_latency,0.0006360446393851082
std_write_operation_latency,0.0003054996294309759
succ_writes_no,1000.0
succ_writes_perc,100.0
unsucc_writes_no,0.0
unsucc_writes_perc,0.0
wEU,0.0
wUS,1.0
writers_no,1.0
writes_no,1000.0
