,throughputsEU0US3wEU1US0rEU1US0_slow_ARES_EC_3-1-1-0_1throughputsEU0US3wEU1US0rEU1US0_slow_ARES_EC_3-1-1-0_3throughputsEU0US3wEU1US0rEU1US0_slow_ARES_EC_3-1-1-0_4throughputsEU0US3wEU1US0rEU1US0_slow_ARES_EC_3-1-1-0_5throughputsEU0US3wEU1US0rEU1US0_slow_ARES_EC_3-1-1-0_2
fast_ops_no,0.0
max_read_operation_latency,0.6019681344782002
max_write_operation_latency,0.6011467688562115
mean_read_operation_latency,0.6016641894106811
mean_read_operation_latency_EC,0.6016641894106811
mean_write_operation_latency,0.6008455459266726
mean_write_operation_latency_EC,0.6008455459266726
median_read_operation_latency,0.6015478910831152
median_write_operation_latency,0.6007174326907261
min_read_operation_latency,0.6013727791617858
min_write_operation_latency,0.6006053443296987
rEU,1.0
rUS,0.0
readers_no,1.0
reads_no,1000.0
recons_no,0.0
sEU,0.0
sUS,3.0
servers_no,3.0
std_read_operation_latency,0.0002528939583505487
std_write_operation_latency,0.00021231266852622476
succ_writes_no,1000.0
succ_writes_perc,100.0
unsucc_writes_no,0.0
unsucc_writes_perc,0.0
wEU,1.0
wUS,0.0
writers_no,1.0
writes_no,1000.0
