,throughputsEU2US1wEU0US0rEU0US1_slow_ARES_EC_3-0-1-0_5throughputsEU2US1wEU0US0rEU0US1_slow_ARES_EC_3-0-1-0_2throughputsEU2US1wEU0US0rEU0US1_slow_ARES_EC_3-0-1-0_3throughputsEU2US1wEU0US0rEU0US1_slow_ARES_EC_3-0-1-0_4throughputsEU2US1wEU0US0rEU0US1_slow_ARES_EC_3-0-1-0_1
fast_ops_no,0.0
max_read_operation_latency,0.6065482668810146
mean_read_operation_latency,0.6061972873494758
mean_read_operation_latency_EC,0.6061972873494758
median_read_operation_latency,0.6064754941500942
min_read_operation_latency,0.6056101275721958
rEU,0.0
rUS,1.0
readers_no,1.0
reads_no,1000.0
recons_no,0.0
sEU,2.0
sUS,1.0
servers_no,3.0
std_read_operation_latency,0.0003992059062177314
succ_writes_no,0.0
unsucc_writes_no,0.0
wEU,0.0
wUS,0.0
writers_no,0.0
writes_no,0.0
