,throughputsEU0US3wEU1US0rEU0US0_slow_ARES_EC_3-1-0-0_2throughputsEU0US3wEU1US0rEU0US0_slow_ARES_EC_3-1-0-0_5throughputsEU0US3wEU1US0rEU0US0_slow_ARES_EC_3-1-0-0_4throughputsEU0US3wEU1US0rEU0US0_slow_ARES_EC_3-1-0-0_3throughputsEU0US3wEU1US0rEU0US0_slow_ARES_EC_3-1-0-0_1
fast_ops_no,0.0
max_write_operation_latency,0.601389339734451
mean_write_operation_latency,0.60102993517851
mean_write_operation_latency_EC,0.60102993517851
median_write_operation_latency,0.6010736363162287
min_write_operation_latency,0.6007354396930313
rEU,0.0
rUS,0.0
readers_no,0.0
reads_no,0.0
recons_no,0.0
sEU,0.0
sUS,3.0
servers_no,3.0
std_write_operation_latency,0.000225948731776386
succ_writes_no,1000.0
succ_writes_perc,100.0
unsucc_writes_no,0.0
unsucc_writes_perc,0.0
wEU,1.0
wUS,0.0
writers_no,1.0
writes_no,1000.0
