,reconsimpleservers_ARES_10-5-5_1reconsimpleservers_ARES_10-5-5_2reconsimpleservers_ARES_10-5-5_3,reconsimpleservers_ARES_3-5-5_1reconsimpleservers_ARES_3-5-5_2reconsimpleservers_ARES_3-5-5_3,reconsimpleservers_ARES_4-5-5_1reconsimpleservers_ARES_4-5-5_2reconsimpleservers_ARES_4-5-5_3,reconsimpleservers_ARES_5-5-5_1reconsimpleservers_ARES_5-5-5_2reconsimpleservers_ARES_5-5-5_3,reconsimpleservers_ARES_6-5-5_1reconsimpleservers_ARES_6-5-5_2reconsimpleservers_ARES_6-5-5_3,reconsimpleservers_ARES_7-5-5_1reconsimpleservers_ARES_7-5-5_2reconsimpleservers_ARES_7-5-5_3,reconsimpleservers_ARES_8-5-5_1reconsimpleservers_ARES_8-5-5_2reconsimpleservers_ARES_8-5-5_3,reconsimpleservers_ARES_9-5-5_1reconsimpleservers_ARES_9-5-5_2reconsimpleservers_ARES_9-5-5_3
last_filesize,4194304.0,4194304.0,4194304.0,4194304.0,4194304.0,4194304.0,4194304.0,4194304.0
mean_read_operation_latency_ABD,0.15699256746582452,0.09583142199843551,0.11350262726194627,0.1252590507620913,0.12469654945572063,0.1450994023131587,0.15433005217803486,0.13650269500016496
mean_read_operation_latency_EC,0.14507982442017392,0.20401650721386322,0.30729057525491604,0.2331137339464622,0.15747116227447883,0.14713724514037854,0.1355943325235329,0.15090682281156795
mean_read_operation_latency_total,0.15107178189221993,0.14832446192779672,0.19644214221336168,0.16994485708776966,0.14174951700442964,0.14504586104443762,0.14423151803558742,0.1427708289655998
mean_recon_operation_latency,0.9822823502225017,1.025800322166914,1.0665901644443796,0.9888312107221585,0.9898962051667392,0.9849724234446614,1.027888732055544,1.0041025782779294
mean_write_operation_latency_ABD,0.09810212488186211,0.0757187772751264,0.08307278349636037,0.08553061352710518,0.08333267294852408,0.09196078431288207,0.09688479490863137,0.088843504957137
mean_write_operation_latency_EC,0.06241334551183284,0.08592895799064743,0.13175746922312093,0.09948865586683725,0.06837132690299162,0.06266945728623967,0.05519353745767488,0.06370402035665851
mean_write_operation_latency_total,0.08019237128555082,0.07985504622224955,0.10618412977111195,0.09131122042223777,0.07515617980555866,0.07714860298667696,0.07546357110776322,0.075977784358923
readers_no,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
reads_no,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
recons_no,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
servers_no,10.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0
succ_writes_no,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
unsucc_writes_no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
writers_no,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
writes_no,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
succ_writes_perc,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
unsucc_writes_perc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
