,throughputsEU3US0wEU1US0rEU0US0_slow_ARES_EC_3-1-0-0_1throughputsEU3US0wEU1US0rEU0US0_slow_ARES_EC_3-1-0-0_2throughputsEU3US0wEU1US0rEU0US0_slow_ARES_EC_3-1-0-0_5throughputsEU3US0wEU1US0rEU0US0_slow_ARES_EC_3-1-0-0_4throughputsEU3US0wEU1US0rEU0US0_slow_ARES_EC_3-1-0-0_3,throughputsEU3US0wEU1US0rEU0US0_slow_ABD_3-1-0_1throughputsEU3US0wEU1US0rEU0US0_slow_ABD_3-1-0_4throughputsEU3US0wEU1US0rEU0US0_slow_ABD_3-1-0_3throughputsEU3US0wEU1US0rEU0US0_slow_ABD_3-1-0_2throughputsEU3US0wEU1US0rEU0US0_slow_ABD_3-1-0_5,throughputsEU3US0wEU1US0rEU0US0_slow_ARES_ABD_3-1-0-0_1throughputsEU3US0wEU1US0rEU0US0_slow_ARES_ABD_3-1-0-0_2throughputsEU3US0wEU1US0rEU0US0_slow_ARES_ABD_3-1-0-0_5throughputsEU3US0wEU1US0rEU0US0_slow_ARES_ABD_3-1-0-0_4throughputsEU3US0wEU1US0rEU0US0_slow_ARES_ABD_3-1-0-0_3
mean_write_operation_latency,0.019505748905648945,0.0024469225851818923,0.01879583122166805
median_write_operation_latency,0.019196904034208272,0.002427496737946058,0.018710678732866654
std_write_operation_latency,0.0005157876864865091,0.00012552339589428835,0.0003189725958819684
max_write_operation_latency,0.020515095668408322,0.0026020285809936466,0.0194046658629959
min_write_operation_latency,0.019172826296155108,0.002266986886941595,0.018527025603485528
rEU,0.0,0.0,0.0
rUS,0.0,0.0,0.0
readers_no,0.0,0.0,0.0
reads_no,0.0,0.0,0.0
recons_no,0.0,0.0,0.0
sEU,3.0,3.0,3.0
sUS,0.0,0.0,0.0
servers_no,3.0,3.0,3.0
succ_writes_no,1000.0,1000.0,1000.0
unsucc_writes_no,0.0,0.0,0.0
wEU,1.0,1.0,1.0
wUS,0.0,0.0,0.0
writers_no,1.0,1.0,1.0
writes_no,1000.0,1000.0,1000.0
succ_writes_perc,100.0,100.0,100.0
unsucc_writes_perc,0.0,0.0,0.0
