,throughputsEU0US3wEU1US0rEU0US0_slow_ARES_EC_3-1-0-0_2throughputsEU0US3wEU1US0rEU0US0_slow_ARES_EC_3-1-0-0_5throughputsEU0US3wEU1US0rEU0US0_slow_ARES_EC_3-1-0-0_4throughputsEU0US3wEU1US0rEU0US0_slow_ARES_EC_3-1-0-0_3throughputsEU0US3wEU1US0rEU0US0_slow_ARES_EC_3-1-0-0_1,throughputsEU0US3wEU1US0rEU0US0_slow_ARES_ABD_3-1-0-0_1throughputsEU0US3wEU1US0rEU0US0_slow_ARES_ABD_3-1-0-0_5throughputsEU0US3wEU1US0rEU0US0_slow_ARES_ABD_3-1-0-0_2throughputsEU0US3wEU1US0rEU0US0_slow_ARES_ABD_3-1-0-0_3throughputsEU0US3wEU1US0rEU0US0_slow_ARES_ABD_3-1-0-0_4,throughputsEU0US3wEU1US0rEU0US0_slow_ABD_3-1-0_3throughputsEU0US3wEU1US0rEU0US0_slow_ABD_3-1-0_4throughputsEU0US3wEU1US0rEU0US0_slow_ABD_3-1-0_5throughputsEU0US3wEU1US0rEU0US0_slow_ABD_3-1-0_2throughputsEU0US3wEU1US0rEU0US0_slow_ABD_3-1-0_1
mean_write_operation_latency,0.60102993517851,0.600937426018546,0.28735890502496036
median_write_operation_latency,0.6010736363162287,0.6009245930815232,0.28736386791977564
std_write_operation_latency,0.000225948731776386,0.00020025254762207458,3.1668072674075656e-05
max_write_operation_latency,0.601389339734451,0.6012530464825686,0.2874052124872105
min_write_operation_latency,0.6007354396930313,0.6006263987557904,0.28731328788006794
rEU,0.0,0.0,0.0
rUS,0.0,0.0,0.0
readers_no,0.0,0.0,0.0
reads_no,0.0,0.0,0.0
recons_no,0.0,0.0,0.0
sEU,0.0,0.0,0.0
sUS,3.0,3.0,3.0
servers_no,3.0,3.0,3.0
succ_writes_no,1000.0,1000.0,1000.0
unsucc_writes_no,0.0,0.0,0.0
wEU,1.0,1.0,1.0
wUS,0.0,0.0,0.0
writers_no,1.0,1.0,1.0
writes_no,1000.0,1000.0,1000.0
succ_writes_perc,100.0,100.0,100.0
unsucc_writes_perc,0.0,0.0,0.0
